time,open,high,low,close,volume,close_x
2022-01-02,3765.54,3857.44,3717.3,3828.27,154791.4263,47286.18
2022-01-03,3828.11,3853.09,3680.0,3765.89,236245.8586,46446.1
2022-01-04,3765.89,3900.73,3713.11,3785.11,288258.5549,45832.01
2022-01-05,3785.1,3848.0,3415.0,3540.63,397942.0363,43451.13
2022-01-06,3539.82,3550.43,3300.0,3406.81,496745.7413,43082.31
2022-01-07,3406.81,3416.76,3064.42,3199.24,669631.7262,41566.48
2022-01-08,3198.68,3250.0,3000.0,3080.95,400692.1061,41679.74
2022-01-09,3080.98,3211.72,3057.35,3151.97,275874.1643,41864.62
2022-01-10,3151.97,3185.0,2928.83,3082.68,529818.3866,41822.49
2022-01-11,3082.87,3263.54,3051.8,3239.72,362446.7087,42729.29
2022-01-12,3239.73,3411.43,3206.2,3371.26,370465.8015,43902.66
2022-01-13,3371.6,3410.0,3233.43,3240.61,336234.8799,42560.11
2022-01-14,3240.61,3342.79,3188.0,3307.42,285326.3505,43059.96
2022-01-15,3307.42,3371.64,3261.0,3326.04,203100.3778,43084.29
2022-01-16,3326.51,3393.6,3269.62,3346.88,210782.2277,43071.66
2022-01-17,3346.89,3357.57,3141.1,3209.67,284063.6548,42201.62
2022-01-18,3209.68,3243.87,3082.0,3159.85,299134.2728,42352.12
2022-01-19,3159.85,3174.87,3000.0,3084.02,332996.5703,41660.01
2022-01-20,3084.02,3273.37,2987.15,3001.48,357596.7062,40680.91
2022-01-21,3001.48,3034.12,2403.0,2568.15,1022021.70024,36445.31
2022-01-22,2567.47,2626.0,2300.0,2412.18,1081357.54893,35071.42
2022-01-23,2412.18,2556.78,2370.8,2539.01,580497.7613,36244.55
2022-01-24,2539.0,2539.75,2159.0,2439.29,1123134.70389,36660.35
2022-01-25,2439.56,2506.55,2348.96,2458.83,510152.954,36958.32
2022-01-26,2459.04,2722.0,2402.03,2462.99,806441.62289,36809.34
2022-01-27,2463.0,2521.0,2316.43,2424.25,599481.7159,37160.1
2022-01-28,2424.02,2558.98,2357.88,2544.99,485149.8065,37716.56
2022-01-29,2544.99,2636.66,2520.01,2601.43,376666.8246,38166.84
2022-01-30,2601.43,2640.0,2542.5,2601.68,290770.0859,37881.76
2022-01-31,2601.67,2706.77,2476.07,2686.94,444584.851,38466.9
2022-02-01,2686.94,2813.0,2673.52,2787.23,390034.27362,38694.59
2022-02-02,2787.48,2810.88,2612.72,2680.67,447852.1228,36896.36
2022-02-03,2680.25,2726.64,2576.05,2695.46,405043.3931,37311.61
2022-02-04,2695.21,2995.0,2671.4,2994.99,664002.9328,41574.25
2022-02-05,2994.99,3060.47,2958.01,3012.65,356803.3071,41382.59
2022-02-06,3012.64,3074.56,2950.21,3054.99,249394.5966,42380.87
2022-02-07,3055.0,3186.0,2991.8,3139.77,455070.2529,43839.99
2022-02-08,3139.77,3232.87,3025.21,3116.69,514773.5837,44042.99
2022-02-09,3116.69,3269.7,3055.0,3243.94,370267.8913,44372.72
2022-02-10,3243.6,3283.66,3056.74,3072.49,578212.8383,43495.44
2022-02-11,3072.36,3138.62,2879.0,2927.54,462025.8751,42373.73
2022-02-12,2927.54,2985.98,2858.3,2918.88,336250.3131,42217.87
2022-02-13,2918.58,2954.4,2836.7,2871.13,242751.3547,42053.66
2022-02-14,2871.14,2964.97,2829.01,2929.75,381778.238,42535.94
2022-02-15,2929.75,3196.19,2912.06,3183.52,448971.754,44544.86
2022-02-16,3183.53,3186.77,3044.03,3122.3,319997.6244,43873.56
2022-02-17,3122.31,3160.0,2851.55,2891.87,488693.2624,40515.7
2022-02-18,2891.88,2943.97,2750.0,2779.48,502977.4069,39974.44
