timestamp,open,high,low,close,volume
2023-02-14 16:00:00,1544.84,1564.69,1534.02,1560.31,112254.1388
2023-02-14 20:00:00,1560.31,1564.07,1549.3,1555.71,57144.6504
2023-02-15 00:00:00,1555.7,1557.43,1542.55,1549.22,45473.5936
2023-02-15 04:00:00,1549.22,1552.09,1544.65,1547.56,33276.874
2023-02-15 08:00:00,1547.56,1580.0,1544.5,1572.26,72855.7368
2023-02-15 12:00:00,1572.26,1593.67,1566.86,1579.5,165174.8506
2023-02-15 16:00:00,1579.5,1629.32,1573.47,1628.54,118580.7072
2023-02-15 20:00:00,1628.54,1680.0,1624.25,1674.92,145846.0964
2023-02-16 00:00:00,1674.92,1712.24,1672.53,1691.42,143365.1322
2023-02-16 04:00:00,1691.41,1697.51,1675.0,1681.89,98041.4638
2023-02-16 08:00:00,1681.9,1692.62,1678.25,1682.82,71321.679
2023-02-16 12:00:00,1682.82,1728.69,1665.24,1724.14,181737.0678
2023-02-16 16:00:00,1724.14,1742.97,1686.76,1710.85,171997.9076
2023-02-16 20:00:00,1710.85,1711.11,1633.72,1637.84,166260.4227
2023-02-17 00:00:00,1637.83,1670.05,1630.51,1663.77,94217.8133
2023-02-17 04:00:00,1663.77,1665.46,1651.67,1653.45,65273.4116
2023-02-17 08:00:00,1653.46,1674.75,1648.4,1666.2,66844.4889
2023-02-17 12:00:00,1666.2,1683.55,1646.09,1673.11,127730.5885
2023-02-17 16:00:00,1673.11,1709.25,1662.27,1706.03,125807.6426
2023-02-17 20:00:00,1706.04,1722.0,1669.72,1693.87,100060.7181
2023-02-18 00:00:00,1693.81,1704.46,1692.14,1699.46,57665.5895
2023-02-18 04:00:00,1699.45,1703.99,1686.11,1690.72,45228.2181
2023-02-18 08:00:00,1690.71,1695.58,1685.69,1691.47,33369.4325
2023-02-18 12:00:00,1691.47,1699.49,1686.64,1695.5,43871.7356
2023-02-18 16:00:00,1695.5,1713.13,1682.8,1687.85,60728.9081
2023-02-18 20:00:00,1687.85,1693.71,1679.77,1691.62,26441.8975
2023-02-19 00:00:00,1691.62,1700.62,1689.5,1695.42,36297.5119
2023-02-19 04:00:00,1695.42,1709.63,1692.19,1693.15,62303.3671
2023-02-19 08:00:00,1693.15,1700.85,1690.8,1695.36,31584.3172
2023-02-19 12:00:00,1695.36,1723.85,1694.42,1711.3,85465.4661
2023-02-19 16:00:00,1711.3,1726.59,1675.96,1684.8,116322.6792
2023-02-19 20:00:00,1684.8,1688.85,1666.14,1679.75,69049.7062
2023-02-20 00:00:00,1679.74,1687.02,1650.56,1684.38,98018.5403
2023-02-20 04:00:00,1684.39,1698.34,1683.64,1695.79,54668.5251
2023-02-20 08:00:00,1695.79,1719.89,1688.5,1713.77,99450.4244
2023-02-20 12:00:00,1713.78,1716.53,1696.97,1707.23,83845.8682
2023-02-20 16:00:00,1707.24,1711.22,1684.32,1709.76,78013.3102
2023-02-20 20:00:00,1709.77,1711.99,1691.77,1703.27,37318.1653
2023-02-21 00:00:00,1703.27,1716.66,1698.06,1703.03,72408.4749
2023-02-21 04:00:00,1703.04,1709.78,1695.01,1704.05,51309.7578
2023-02-21 08:00:00,1704.05,1715.0,1666.17,1669.5,139354.5322
